Date,StudyHours,BreakHours,SleepHours,StressLevel,FocusLevel,Subject,FatigueScore,BurnoutLevel
2026-01-01,8,2.0,6,5,5,ML,6.67,High
2026-01-02,4,0.4,6,5,4,Statistics,3.33,Medium
2026-01-03,7,0.3,7,2,4,DSA,2.0,Medium
2026-01-04,2,0.9,8,4,1,Python,1.0,Low
2026-01-05,4,1.6,5,4,4,Statistics,3.2,Medium
2026-01-06,5,1.4,4,3,5,Statistics,3.75,Medium
2026-01-07,8,0.6,5,4,1,SQL,6.4,High
2026-01-08,7,2.1,4,2,5,ML,3.5,Medium
2026-01-09,5,0.8,7,4,5,Statistics,2.86,Medium
2026-01-10,7,1.1,5,4,2,ML,5.6,High
2026-01-11,5,0.6,5,2,4,ML,2.0,Medium
2026-01-12,3,2.3,7,1,5,DSA,0.43,Low
2026-01-13,3,1.4,5,1,4,SQL,0.6,Low
2026-01-14,5,0.8,8,5,1,Python,3.12,Medium
2026-01-15,8,1.2,4,4,3,Statistics,8.0,High
2026-01-16,2,1.8,6,1,3,DSA,0.33,Low
2026-01-17,3,1.0,4,4,1,SQL,3.0,Medium
2026-01-18,3,0.4,8,3,4,Statistics,1.12,Low
2026-01-19,4,1.3,8,3,1,DSA,1.5,Low
2026-01-20,3,0.7,6,1,2,ML,0.5,Low
2026-01-21,5,0.4,4,4,5,SQL,5.0,High
2026-01-22,7,0.5,8,3,5,SQL,2.62,Medium
2026-01-23,6,0.4,6,3,4,ML,3.0,Medium
2026-01-24,3,2.1,4,5,4,SQL,3.75,Medium
2026-01-25,5,0.6,6,2,4,Python,1.67,Low
2026-01-26,8,2.3,4,1,3,Python,2.0,Medium
2026-01-27,5,1.0,6,3,1,DSA,2.5,Medium
2026-01-28,2,0.5,7,3,1,SQL,0.86,Low
2026-01-29,2,0.3,5,4,4,ML,1.6,Low
2026-01-30,4,0.9,4,1,3,Python,1.0,Low
2026-01-31,3,1.4,8,1,1,Statistics,0.38,Low
2026-02-01,7,0.5,7,2,4,Statistics,2.0,Medium
2026-02-02,9,0.7,8,4,2,Statistics,4.5,High
2026-02-03,8,0.4,4,1,4,Statistics,2.0,Medium
2026-02-04,7,1.8,6,4,4,Statistics,4.67,High
2026-02-05,5,0.2,6,3,4,SQL,2.5,Medium
2026-02-06,2,1.8,5,1,3,SQL,0.4,Low
2026-02-07,2,0.5,5,3,4,ML,1.2,Low
2026-02-08,9,1.5,7,1,2,Python,1.29,Low
2026-02-09,9,2.4,8,5,3,Python,5.62,High
2026-02-10,2,1.0,6,4,1,SQL,1.33,Low
2026-02-11,4,2.4,7,4,3,Python,2.29,Medium
2026-02-12,4,2.4,5,2,2,Statistics,1.6,Low
2026-02-13,9,2.5,7,1,4,Python,1.29,Low
2026-02-14,7,0.9,7,3,1,Python,3.0,Medium
2026-02-15,9,0.4,6,5,3,Statistics,7.5,High
2026-02-16,4,2.0,4,4,1,DSA,4.0,High
2026-02-17,5,1.9,6,4,3,Python,3.33,Medium
2026-02-18,9,0.6,7,5,5,Statistics,6.43,High
2026-02-19,5,0.2,8,1,5,Statistics,0.62,Low
2026-02-20,5,2.2,8,5,1,Statistics,3.12,Medium
2026-02-21,9,1.1,5,2,3,ML,3.6,Medium
2026-02-22,9,1.7,5,3,2,ML,5.4,High
2026-02-23,3,1.9,4,1,3,DSA,0.75,Low
2026-02-24,3,2.1,6,2,1,DSA,1.0,Low
2026-02-25,5,1.4,4,4,5,SQL,5.0,High
2026-02-26,2,0.4,7,3,4,ML,0.86,Low
2026-02-27,3,1.2,6,1,2,DSA,0.5,Low
2026-02-28,7,1.6,4,4,2,Statistics,7.0,High
2026-03-01,5,1.0,8,4,4,SQL,2.5,Medium
